TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
PREPARED;1061313;49995;Лук пассированный п/ф;Килограммы;900.00;;;0.00;0.00;0.00
GOODS;991360;49993;Лук репчатый;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009606;49993;Лук фри;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;991356;51052;"М/м 120 л. 40 мкм ""Идеал"" 10 шт/рулон";Штуки;0.00;;;0.00;0.00;0.00
DISH;1119704;51052;М/м 30 л;Штуки;0.00;;;0.00;0.00;0.00
DISH;1149492;49993;Майонез 50%;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013069;49993;Майоран измел;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1046397;54161;Макаронные изделия;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1061298;49995;Макаронные изделия отварные п/ф;Килограммы;3200.00;;;0.00;0.00;0.00
DISH;1150823;51052;Маркер (краска);Штуки;0.00;;;0.00;0.00;0.00
GOODS;893042;46512;Маршмеллоу;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;935256;48454;Маршмеллоу 10г;Штуки;11.00;;;0.00;0.00;16.00
DISH;935257;48454;Маршмеллоу 15г;Штуки;1000.00;;;0.00;0.00;24.00
GOODS;962266;49993;Масло подсолнечное;Литр;0.00;;;0.00;0.00;0.00
GOODS;962312;49993;Масло сливочное 72,5%;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009725;49993;Масло фритюрное;Литр;1.00;;;0.00;0.00;0.00
PREPARED;1042190;49993;Меланж;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1072857;55900;"Мешок ""Master"" 1-раз.сред. Р=35 см.";Штуки;0.00;;;0.00;0.00;0.00
DISH;1046326;51053;Миксер планетарный ROSSO B10S cake;Штуки;0.00;;;0.00;0.00;0.00
DISH;1119465;44991;Моккачино L;Штуки;416.00;;;0.00;0.00;200.00
DISH;1119464;44991;Моккачино M;Штуки;356.00;;;0.00;0.00;170.00
DISH;1119462;44991;Моккачино S;Штуки;236.00;;;0.00;0.00;130.00
